arxiv,state,has_bib,A,A_bib,A_body,B14,B_any,C,sites_all,sites14,evidence
2201.09097,measured,1,1,1,1,1,1,0,4,3,"ApJ...870...32K} {Kuhn}, M.~A., {Hillenbrand}, L.~A., {Sills}, A., {Feigelson}, E.~D., \& {Getman}, K.~V. 2019, \apj, 870, 32 \bibitem[{Lindegren(2018)}]{LL:LL-124} Lindegren, L. 2018, gAIA-C3-TN-LU-LL-124 \bibitem[{{Lindegren} {et~al.}(2021){Lindegren}, {Bastian}, {Biermann}, {Bombrun}, {de Torres}, {Gerlach}, {Geyer}"
2201.09438,measured,1,0,0,0,0,0,0,1,1,
2201.13379,measured,1,0,0,0,0,0,0,3,1,
2202.00042,measured,1,1,1,0,0,0,1,4,4,"380, 606, \dodoi{10.1038/380606a0} \bibitem[{Lindegren(2018)}]{lindegren2018} Lindegren, L. 2018. \newblock \url{http://www.rssd.esa.int/doc_fetch.php?id=3757412} \bibitem[{{Lindegren} {et~al.}(2018){Lindegren}, {Hern{\'a}ndez}, {Bombrun}, {Klioner}, {Bastian}, {Ramos-Lerate}, {de Torres}, {Steidelm{\""u}l"
2202.04199,measured,1,0,0,0,0,0,0,1,1,
2202.08369,measured,1,0,0,0,0,0,0,5,1,
2203.01953,measured,1,0,0,0,0,0,0,1,1,
2203.03659,measured,1,1,1,0,0,0,0,14,8,"630} \bibitem[\protect\citeauthoryear{Lindegren}{Lindegren}{2018}]{RUWE} Lindegren L., 2018, {R}e-normalising the astrometric chi-square in {G}aia {D}{R}2, GAIA-C3-TN-LU-LL-124, \url {http://www.rssd.esa.int/doc_fetch.php?id=3757412} \bibitem[\protect\citeauthoryear{{Lindegren} et~al.,}{{Lindegren} et~al.}{2021}]{EDR3_a"
2203.07938,measured,1,0,0,0,0,0,0,1,1,
2203.11250,measured,1,0,0,0,0,0,0,3,2,
2203.12795,measured,1,0,0,0,0,0,0,5,1,
2204.09414,measured,1,0,0,0,0,0,1,1,1,
2204.12140,measured,1,0,0,0,0,0,0,2,1,
2204.12551,measured,1,0,0,0,0,0,0,3,3,
2205.00040,measured,1,0,0,0,0,0,0,2,2,
2205.03444,measured,1,0,0,0,0,0,0,1,1,
2205.06186,measured,1,0,0,0,0,0,0,1,1,
2205.13715,measured,1,0,0,0,0,0,1,1,1,
2206.00417,measured,1,0,0,0,0,0,0,2,2,
2206.03511,measured,1,0,0,0,0,0,0,1,1,
2206.03777,measured,1,0,0,0,0,0,0,2,1,
2206.04458,measured,1,0,0,0,0,0,1,1,1,
2206.04567,measured,1,0,0,0,0,0,0,6,2,
2206.05411,measured,1,0,0,0,0,0,0,3,2,
2206.05595,measured,1,1,1,0,0,0,0,9,8,"& L.~{Woltjer}, 13--18 \bibitem[{{Lindegren}(2022)}]{LL:LL-136} {Lindegren}, L. 2022, {Gaia} Data Processing and Analysis Consortium (DPAC) technical note GAIA-C3-TN-LU-LL-136-01, \url{http://www.cosmos.esa.int/web/gaia/public-dpac-documents} \bibitem[{{Lindegren} {et~al.}(2021){Lindegren}, {Klioner}, {Hern\'andez}, {B"
